id;processo;tribunal;natureza;distribuicao_data;numero;instancia;codigo_identificador;id
137;8000799-87.2019.8.05.0142;TJBA;"AGRAVO DE INSTRUMENTO";2022-11-21;80438196420228050000;2;"AGRAVO DE INSTRUMENTO 8043819-64.2022.8.05.0000";524944735
138;8000799-87.2019.8.05.0142;TJBA;"PROCEDIMENTO COMUM CIVEL";2019-06-06;80007998720198050142;1;"PROCEDIMENTO COMUM CÍVEL 8000799-87.2019.8.05.0142";367357876
139;1011474-83.2019.4.01.3600;TRF1;"AGRAVO DE INSTRUMENTO";2022-02-04;10029563520224010000;2;"AGRAVO DE INSTRUMENTO 1002956-35.2022.4.01.0000";472667644
140;0056640-07.2015.8.14.0301;TJPA;"CONFLITO DE COMPETENCIA CIVEL";2016-07-26;566400720158140301;2;"0056640-07.2015.8.14.0301 Conflito de competência cível";385812295
141;1046640-32.2019.8.26.0114;TJSP;"PROCEDIMENTO COMUM";2014-12-17;10397184820148260114;1;"Procedimento Comum 1039718-48.2014.8.26.0114";320621272
142;0863645-08.2019.8.14.0301;TJPA;"EXECUCAO DE TITULO EXTRAJUDICIAL";2019-07-12;8375642220198140301;1;"EXECUÇÃO DE TÍTULO EXTRAJUDICIAL 0837564-22.2019.8.14.0301";371225349
143;0863645-08.2019.8.14.0301;TJPA;"ACAO CIVIL PUBLICA";2019-11-29;8636450820198140301;1;"AÇÃO CIVIL PÚBLICA 0863645-08.2019.8.14.0301";387215001
144;1014045-97.2019.4.01.3900;TRF1;"ACAO CIVIL PUBLICA CIVEL";2019-11-27;10140459720194013900;1;"AÇÃO CIVIL PÚBLICA CÍVEL 1014045-97.2019.4.01.3900";387246395
145;0227076-30.1980.4.03.6100;TRF3;"CUMPRIMENTO DE SENTENCA CONTRA A FAZENDA PUBLICA";1980-07-10;2270763019804036100;1;"CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA 0227076-30.1980.4.03.6100";442694710
146;0227076-30.1980.4.03.6100;TRF3;"229 CUMPRIMENTO DE SENTENCA";2014-09-15;2270763019804036100;1;"0227076-30.1980.4.03.6100 229 . CUMPRIMENTO DE SENTENCA";387878406
147;1001028-91.2019.8.26.0172;TJSP;"AGRAVO DE INSTRUMENTO";2020-04-15;20702919320208260000;2;"Agravo de Instrumento 2070291-93.2020.8.26.0000";524465348
148;0002194-23.2018.8.14.0051;TJPA;"REINTEGRACAO MANUTENCAO DE POSSE";2018-02-19;21942320188140051;1;"REINTEGRAÇÃO / MANUTENÇÃO DE POSSE 0002194-23.2018.8.14.0051";389182808
149;0002194-23.2018.8.14.0051;TJPA;"REINTEGRACAO MANUTENCAO DE POSSE";2018-02-19;21942320188140051;1;"0002194-23.2018.8.14.0051 Reintegração / Manutenção de Posse";337225962
150;0000718-30.2009.4.03.6121;TRF3;"233 REINTEGRACAO MANUTENCAO DE POSSE";2013-02-13;7183020094036121;1;"0000718-30.2009.4.03.6121 233 . REINTEGRACAO/MANUTENCAO DE POSSE";390623059
151;0500056-17.2013.8.24.0053;TJSC;"CUMPRIMENTO DE SENTENCA";2019-10-25;50006708120198240053;1;"5000670-81.2019.8.24.0053 CUMPRIMENTO DE SENTENÇA";383245661
152;0000582-62.2016.4.03.6129;TRF3;"233 REINTEGRACAO MANUTENCAO DE POSSE";2016-07-06;5826220164036129;1;"0000582-62.2016.4.03.6129 233 . REINTEGRACAO/MANUTENCAO DE POSSE";390921253
153;0000582-62.2016.4.03.6129;TRF3;"AI AG";2016-07-21;129116320164030000;2;"0012911-63.2016.4.03.0000 585258 AI (AG) - SP";459448438
154;0000615-52.2016.4.03.6129;TRF3;"APELACAO CIVEL";2021-07-20;6155220164036129;2;"APELAÇÃO CÍVEL 0000615-52.2016.4.03.6129";454826777
155;0000615-52.2016.4.03.6129;TRF3;"233 REINTEGRACAO MANUTENCAO DE POSSE";2016-08-09;6155220164036129;1;"0000615-52.2016.4.03.6129 233 . REINTEGRACAO/MANUTENCAO DE POSSE";390921348
156;0008370-78.2002.4.03.6110;TRF3;"APELACAO CIVEL";2019-04-12;83707820024036110;2;"APELAÇÃO CÍVEL 0008370-78.2002.4.03.6110";358312017
157;0008370-78.2002.4.03.6110;TRF3;"25 USUCAPIAO";2013-12-09;83707820024036110;1;"0008370-78.2002.4.03.6110 25 . USUCAPIAO";390927249
158;0007299-44.2011.4.03.6104;TRF3;"233 REINTEGRACAO MANUTENCAO DE POSSE";2014-04-09;72994420114036104;1;"0007299-44.2011.4.03.6104 233 . REINTEGRACAO/MANUTENCAO DE POSSE";390927285
159;0000718-30.2009.4.03.6121;TRF3;"233 REINTEGRACAO MANUTENCAO DE POSSE";2013-02-13;7183020094036121;1;"0000718-30.2009.4.03.6121 233 . REINTEGRACAO/MANUTENCAO DE POSSE";390623059
160;0014559-78.2017.8.14.0008;TJPA;"REINTEGRACAO MANUTENCAO DE POSSE";2017-12-07;145597820178140008;1;"0014559-78.2017.8.14.0008 Reintegração / Manutenção de Posse";391037138
161;1001264-63.2020.4.01.3300;TJBA;"CARTA PRECATORIA CIVEL";2020-02-12;80002237420208050034;1;"CARTA PRECATÓRIA CÍVEL 8000223-74.2020.8.05.0034";463726248
162;5001410-36.2018.4.04.7208;TRF4;"AGRAVO DE INSTRUMENTO";2020-07-15;50327814020204040000;2;"5032781-40.2020.4.04.0000 Agravo de Instrumento";413534031
163;5001410-36.2018.4.04.7208;TRF4;"APELACAO CIVEL";2021-09-24;50014103620184047208;2;"5001410-36.2018.4.04.7208 Apelação Cível";461102537
164;5001410-36.2018.4.04.7208;TRF4;"AGRAVO DE INSTRUMENTO";2018-12-19;50479373920184040000;2;"5047937-39.2018.4.04.0000 Agravo de Instrumento";414162767
165;5001410-36.2018.4.04.7208;TRF4;"AGRAVO DE INSTRUMENTO";2018-09-25;50365295120184040000;2;"5036529-51.2018.4.04.0000 Agravo de Instrumento";489357721
166;0251536-50.2010.8.09.0144;TJGO;;;2515365020108090144;1;2515365020108090144;393591012
167;0023130-55.2013.4.01.3700;TRF1;"APELACAO CIVEL";2018-04-16;231305520134013700;2;"APELAÇÃO CÍVEL 0023130-55.2013.4.01.3700";393362697
168;0023130-55.2013.4.01.3700;TRF1;"APELACAO CIVEL";2017-10-06;231305520134013700;2;"0023130-55.2013.4.01.3700 Apelação Cível 06/10/2017";359915043
169;0023130-55.2013.4.01.3700;TRF1;"65 - ACAO CIVIL PUBLICA CIVEL";2014-09-04;231305520134013700;1;"0023130-55.2013.4.01.3700 65 - Ação Civil Pública Cível 10/06/2013";393775194
170;0023130-55.2013.4.01.3700;TRF1;"65 - ACAO CIVIL PUBLICA";2014-09-04;231305520134013700;1;"0023130-55.2013.4.01.3700 65 - Ação Civil Pública 10/06/2013";359914938
171;0005139-80.2010.4.03.6104;TRF3;"APELACAO CIVEL";2018-02-09;51398020104036104;2;"APELAÇÃO CÍVEL 0005139-80.2010.4.03.6104";387669799
172;0002210-12.2018.8.24.0014;TJSC;"ACAO DE EXIGIR CONTAS";2018-11-26;22101220188240014;1;"Ação de Exigir Contas 0002210-12.2018.8.24.0014";394645104
173;0000582-62.2016.4.03.6129;TRF3;"233 REINTEGRACAO MANUTENCAO DE POSSE";2016-07-06;5826220164036129;1;"0000582-62.2016.4.03.6129 233 . REINTEGRACAO/MANUTENCAO DE POSSE";390921253
174;0000582-62.2016.4.03.6129;TRF3;"AI AG";2016-07-21;129116320164030000;2;"0012911-63.2016.4.03.0000 585258 AI (AG) - SP";459448438
175;0000615-52.2016.4.03.6129;TRF3;"APELACAO CIVEL";2021-07-20;6155220164036129;2;"APELAÇÃO CÍVEL 0000615-52.2016.4.03.6129";454826777
176;0000615-52.2016.4.03.6129;TRF3;"233 REINTEGRACAO MANUTENCAO DE POSSE";2016-08-09;6155220164036129;1;"0000615-52.2016.4.03.6129 233 . REINTEGRACAO/MANUTENCAO DE POSSE";390921348
177;0008370-78.2002.4.03.6110;TRF3;"APELACAO CIVEL";2019-04-12;83707820024036110;2;"APELAÇÃO CÍVEL 0008370-78.2002.4.03.6110";358312017
178;0008370-78.2002.4.03.6110;TRF3;"25 USUCAPIAO";2013-12-09;83707820024036110;1;"0008370-78.2002.4.03.6110 25 . USUCAPIAO";390927249
179;0007299-44.2011.4.03.6104;TRF3;"233 REINTEGRACAO MANUTENCAO DE POSSE";2014-04-09;72994420114036104;1;"0007299-44.2011.4.03.6104 233 . REINTEGRACAO/MANUTENCAO DE POSSE";390927285
180;5000090-20.2020.4.02.5111;TRF2;"EMBARGOS A EXECUCAO";2021-05-15;50006269420214025111;1;"5000626-94.2021.4.02.5111 EMBARGOS À EXECUÇÃO";449319063
181;1000439-96.2020.4.01.3825;TRF1;"AGRAVO DE INSTRUMENTO";2021-04-14;10125284920214010000;2;"AGRAVO DE INSTRUMENTO 1012528-49.2021.4.01.0000";446797345
182;5002877-06.2020.4.04.7200;TRF4;"AGRAVO DE INSTRUMENTO";2021-06-29;50267957120214040000;2;"5026795-71.2021.4.04.0000 Agravo de Instrumento";453258823
183;5002877-06.2020.4.04.7200;TRF4;"AGRAVO DE INSTRUMENTO";2022-06-23;50281940420224040000;2;"5028194-04.2022.4.04.0000 Agravo de Instrumento";492215110
184;5002877-06.2020.4.04.7200;TRF4;"AGRAVO DE INSTRUMENTO";2020-11-04;50522991620204040000;2;"5052299-16.2020.4.04.0000 Agravo de Instrumento";420108731
185;5002877-06.2020.4.04.7200;TRF4;"AGRAVO DE INSTRUMENTO";2021-02-02;50034178620214040000;2;"5003417-86.2021.4.04.0000 Agravo de Instrumento";440174756
186;5002877-06.2020.4.04.7200;TRF4;"AGRAVO DE INSTRUMENTO";2021-04-15;50152535620214040000;2;"5015253-56.2021.4.04.0000 Agravo de Instrumento";453501885
187;5002877-06.2020.4.04.7200;TRF4;"AGRAVO DE INSTRUMENTO";2020-02-28;50078896720204040000;2;"5007889-67.2020.4.04.0000 Agravo de Instrumento";407199142
188;5002877-06.2020.4.04.7200;TRF4;"AGRAVO DE INSTRUMENTO";2021-04-16;50153522620214040000;2;"5015352-26.2021.4.04.0000 Agravo de Instrumento";453474260
189;0819503-79.2020.8.14.0301;TJPA;"ACAO CIVIL PUBLICA CIVEL";2020-03-06;8195037920208140301;1;"AÇÃO CIVIL PÚBLICA CÍVEL 0819503-79.2020.8.14.0301";398548967
190;5023069-66.2020.4.04.7100;TRF4;"REINTEGRACAO MANUTENCAO DE POSSE";2013-08-15;50422457520134047100;1;"5042245-75.2013.4.04.7100 REINTEGRAÇÃO / MANUTENÇÃO DE POSSE";416209871
191;5001234-08.2020.8.13.0352;TJMG;"PROCEDIMENTO COMUM CIVEL";2020-04-02;50012340820208130352;1;"PROCEDIMENTO COMUM CÍVEL 5001234-08.2020.8.13.0352";400797048
192;1001658-74.2020.4.01.4301;TRF1;"PETICAO CIVEL";2020-08-21;10035017420204014301;1;"PETIÇÃO CÍVEL 1003501-74.2020.4.01.4301";412406721
193;1001658-74.2020.4.01.4301;TJTO;"CARTA PRECATORIA CIVEL";2020-05-25;42273820208272707;1;"0004227-38.2020.8.27.2707 Carta Precatória Cível";405137288
194;1001658-74.2020.4.01.4301;TRF1;"APELACAO CIVEL";2022-12-05;10016587420204014301;2;"APELAÇÃO CÍVEL 1001658-74.2020.4.01.4301";512024818
195;5008352-61.2020.8.24.0018;TJSC;"APELACAO REMESSA NECESSARIA";2020-09-07;50083526120208240018;2;"5008352-61.2020.8.24.0018 Apelação / Remessa Necessária";477668215
196;5008352-61.2020.8.24.0018;STF;"RECURSO EXTRAORDINARIO COM AGRAVO";2022-01-11;50083526120208240018;4;"ARE 1364988";469853179
197;0507057-42.2020.4.02.5101;TRF2;"ACAO CIVIL PUBLICA - PROCEDIMENTOS REGIDOS POR OUTROS CODIGOS LEIS ESPARSAS E REGIMENTOS - PROCEDIMENTOS ESPECIAIS - PROCEDIMENTO DE CONHECIMENTO - PROCESSO DE CONHECIMENTO - PROCESSO CIVEL E DO TRABALHO";2007-08-21;216785820074025101;1;"0021678-58.2007.4.02.5101 Ação Civil Pública - Procedimentos Regidos por Outros Códigos, Leis Esparsas e Regimentos - Procedimentos Especiais - Procedimento de Conhecimento - Processo de Conhecimento - Processo Cível e do Trabalho";346509398
198;0507057-42.2020.4.02.5101;TRF2;"APELACAO CIVEL";2021-07-01;216785820074025101;2;"0021678-58.2007.4.02.5101 Apelação Cível";453383691
199;0507057-42.2020.4.02.5101;TRF2;"CUMPRIMENTO DE SENTENCA - PROCEDIMENTO DE CUMPRIMENTO DE SENTENCA DECISAO - PROCESSO DE CONHECIMENTO - PROCESSO CIVEL E DO TRABALHO";2020-04-24;5070574220204025101;1;"0507057-42.2020.4.02.5101 Cumprimento de sentença - Procedimento de Cumprimento de Sentença/Decisão - Processo de Conhecimento - Processo Cível e do Trabalho";402058851
200;0000734-66.2012.8.10.0101;TJMA;"PROCESSO CIVEL E DO TRABALHO PROCESSO DE CONHECIMENTO PROCEDIMENTO DE CONHECIMENTO PROCEDIMENTOS ESPECIAIS PROCEDIMENTOS ESPECIAIS DE JURISDICAO CONTENCIOSA REINTEGRACAO MANUTENCAO DE POSSE";2012-12-27;7346620128100101;1;"734-66.2012.8.10.0101 PROCESSO CÍVEL E DO TRABALHO | Processo de Conhecimento | Procedimento de Conhecimento | Procedimentos Especiais | Procedimentos Especiais de Jurisdição Contenciosa | Reintegração / Manutenção de Posse";403859719
201;0015640-38.1992.4.03.6100;TRF3;"229 CUMPRIMENTO DE SENTENCA";2014-09-15;156403819924036100;1;"0015640-38.1992.4.03.6100 229 . CUMPRIMENTO DE SENTENCA";404145967
202;0015640-38.1992.4.03.6100;TRF3;"AP AGPT";2014-12-10;156403819924036100;2;"0015640-38.1992.4.03.6100 923 AP (AGPT) - SP";404146148
203;0800254-61.2020.8.14.0037;TJPA;"APELACAO CIVEL";2022-07-04;8002222220218140037;2;"APELAÇÃO CÍVEL 0800222-22.2021.8.14.0037";499834857
204;1021441-03.2020.4.01.3800;TRF1;"AGRAVO DE INSTRUMENTO";2022-03-30;10100599320224010000;2;"AGRAVO DE INSTRUMENTO 1010059-93.2022.4.01.0000";481230203
205;1021441-03.2020.4.01.3800;TRF1;"CUMPRIMENTO DE SENTENCA";2021-03-22;10132226420214013800;1;"CUMPRIMENTO DE SENTENÇA 1013222-64.2021.4.01.3800";472470545
206;1021441-03.2020.4.01.3800;TRF6;"CUMPRIMENTO DE SENTENCA";2020-01-31;10030509720204013800;1;"CUMPRIMENTO DE SENTENÇA 1003050-97.2020.4.01.3800";505837864
207;1021441-03.2020.4.01.3800;TRF1;"CUMPRIMENTO DE SENTENCA";2020-01-31;10030509720204013800;1;"CUMPRIMENTO DE SENTENÇA 1003050-97.2020.4.01.3800";395370694
208;1021441-03.2020.4.01.3800;TRF1;"CUMPRIMENTO DE SENTENCA";2020-06-08;10214410320204013800;1;"CUMPRIMENTO DE SENTENÇA 1021441-03.2020.4.01.3800";406590291
209;1021441-03.2020.4.01.3800;TRF6;"CUMPRIMENTO DE SENTENCA";2021-03-22;10132226420214013800;1;"CUMPRIMENTO DE SENTENÇA 1013222-64.2021.4.01.3800";509326580
210;7000789-21.2020.8.22.0023;TJRO;"APELACAO CIVEL";2021-04-20;70007892120208220023;2;"APELAÇÃO CÍVEL 7000789-21.2020.8.22.0023";473911656
211;5000977-98.2020.8.24.0053;TJSC;;;9000148720198240053;1;0900014-87.2019.8.24.0053;360244251
212;0840689-61.2020.8.14.0301;TJPA;"ACAO CIVIL PUBLICA CIVEL";2020-07-31;8406896120208140301;1;"AÇÃO CIVIL PÚBLICA CÍVEL 0840689-61.2020.8.14.0301";410438684
213;0000389-29.2011.8.18.0064;TJPI;"PROCEDIMENTO COMUM CIVEL";2011-06-09;3892920118180064;1;"0000389-29.2011.8.18.0064 Procedimento Comum Cível";411711621
214;1003501-74.2020.4.01.4301;TRF1;"ACAO CIVIL PUBLICA CIVEL";2020-04-15;10016587420204014301;1;"AÇÃO CIVIL PÚBLICA CÍVEL 1001658-74.2020.4.01.4301";401476989
215;0000260-91.2012.4.02.5003;TRF2;"APELACAO CIVEL";2020-06-15;2609120124025003;2;"0000260-91.2012.4.02.5003 Apelação Cível";412933454
216;0848105-80.2020.8.14.0301;TJPA;"ACAO CIVIL PUBLICA CIVEL";2020-09-09;8481058020208140301;1;"AÇÃO CIVIL PÚBLICA CÍVEL 0848105-80.2020.8.14.0301";414155880
217;0000802-51.2014.8.24.0167;TJSC;"CONSIGNACAO EM PAGAMENTO";2010-03-09;13112120108240167;1;"Consignação em Pagamento 0001311-21.2010.8.24.0167";364023105
218;5000559-75.2015.4.04.7119;STJ;"RECURSO ESPECIAL";;50005597520154047119;3;2020/0100687-2;402666007
219;0000112-79.2018.8.27.2727;TJTO;"261 - CARTA PRECATORIA CIVEL";2019-06-13;16664820198272716;1;"0001666-48.2019.8.27.2716 Carta Precatória Cível";368294915
220;0507057-42.2020.4.02.5101;TRF2;"ACAO CIVIL PUBLICA - PROCEDIMENTOS REGIDOS POR OUTROS CODIGOS LEIS ESPARSAS E REGIMENTOS - PROCEDIMENTOS ESPECIAIS - PROCEDIMENTO DE CONHECIMENTO - PROCESSO DE CONHECIMENTO - PROCESSO CIVEL E DO TRABALHO";2007-08-21;216785820074025101;1;"0021678-58.2007.4.02.5101 Ação Civil Pública - Procedimentos Regidos por Outros Códigos, Leis Esparsas e Regimentos - Procedimentos Especiais - Procedimento de Conhecimento - Processo de Conhecimento - Processo Cível e do Trabalho";346509398
221;0507057-42.2020.4.02.5101;TRF2;"APELACAO CIVEL";2021-07-01;216785820074025101;2;"0021678-58.2007.4.02.5101 Apelação Cível";453383691
222;0507057-42.2020.4.02.5101;TRF2;"CUMPRIMENTO DE SENTENCA - PROCEDIMENTO DE CUMPRIMENTO DE SENTENCA DECISAO - PROCESSO DE CONHECIMENTO - PROCESSO CIVEL E DO TRABALHO";2020-04-24;5070574220204025101;1;"0507057-42.2020.4.02.5101 Cumprimento de sentença - Procedimento de Cumprimento de Sentença/Decisão - Processo de Conhecimento - Processo Cível e do Trabalho";402058851
223;5042245-75.2013.4.04.7100;TRF4;"REINTEGRACAO MANUTENCAO DE POSSE";2013-07-10;50357891220134047100;1;"5035789-12.2013.4.04.7100 REINTEGRAÇÃO / MANUTENÇÃO DE POSSE";416331709
224;5042245-75.2013.4.04.7100;TRF4;"REINTEGRACAO MANUTENCAO DE POSSE";2020-03-31;50230696620204047100;1;"5023069-66.2020.4.04.7100 REINTEGRAÇÃO / MANUTENÇÃO DE POSSE";400670837
225;5042245-75.2013.4.04.7100;TRF4;"AGRAVO DE INSTRUMENTO";2014-01-02;50000128620144040000;2;"5000012-86.2014.4.04.0000 Agravo de Instrumento";416438075
226;5042245-75.2013.4.04.7100;TRF4;"AGRAVO DE INSTRUMENTO";2014-01-12;50004069320144040000;2;"5000406-93.2014.4.04.0000 Agravo de Instrumento";462393270
227;5042245-75.2013.4.04.7100;TRF4;"APELACAO CIVEL";2021-03-15;50422457520134047100;2;"5042245-75.2013.4.04.7100 Apelação Cível";458871753
228;5035789-12.2013.4.04.7100;TRF4;"AGRAVO DE INSTRUMENTO";2014-01-02;50000110420144040000;2;"5000011-04.2014.4.04.0000 Agravo de Instrumento";416561395
229;5035789-12.2013.4.04.7100;TRF4;"REINTEGRACAO MANUTENCAO DE POSSE";2013-08-15;50422457520134047100;1;"5042245-75.2013.4.04.7100 REINTEGRAÇÃO / MANUTENÇÃO DE POSSE";416209871
230;5035789-12.2013.4.04.7100;TRF4;"AGRAVO DE INSTRUMENTO";2014-01-16;50007983320144040000;2;"5000798-33.2014.4.04.0000 Agravo de Instrumento";459284626
231;5479748-45.2019.8.09.0031;TJGO;"IMISSAO NA POSSE L E";2019-08-13;54797484520198090031;1;"5479748.45.2019.8.09.0031 Imissão na Posse ( L.E. )";374857035
232;0801370-69.2020.8.10.0084;TJMA;"EMBARGOS DE TERCEIRO CIVEL";2021-02-17;8004116420218100084;1;"EMBARGOS DE TERCEIRO CÍVEL 0800411-64.2021.8.10.0084";441605162
233;0001035-29.2016.4.01.3505;TRF1;"1707 - REINTEGRACAO MANUTENCAO DE POSSE";2016-05-09;10352920164013505;1;"0001035-29.2016.4.01.3505 1707 - Reintegração / Manutenção de Posse 09/05/2016";417684844
234;0001035-29.2016.4.01.3505;TRF1;"AGRAVO DE INSTRUMENTO";2017-06-26;299092920174010000;2;"0029909-29.2017.4.01.0000 Agravo de Instrumento 26/06/2017";426855666
235;0001035-29.2016.4.01.3505;TRF1;"AGRAVO DE INSTRUMENTO";2017-04-04;159482120174010000;2;"0015948-21.2017.4.01.0000 Agravo de Instrumento 04/04/2017";432258493
236;0001635-08.2016.4.01.4004;TRF1;"APELACAO REMESSA NECESSARIA";2018-12-03;16350820164014004;2;"0001635-08.2016.4.01.4004 Apelação / Remessa Necessária 03/12/2018";420618527
237;0001635-08.2016.4.01.4004;TRF1;"65 - ACAO CIVIL PUBLICA";2016-05-12;16350820164014004;1;"0001635-08.2016.4.01.4004 65 - Ação Civil Pública 11/05/2016";417737077
238;0001635-08.2016.4.01.4004;TRF1;"APELACAO REMESSA NECESSARIA";2019-02-19;16350820164014004;2;"APELAÇÃO / REMESSA NECESSÁRIA 0001635-08.2016.4.01.4004";420578985
239;0001635-08.2016.4.01.4004;TRF1;"SUSPENSAO DE LIMINAR E DE SENTENCA";2019-06-21;10184322120194010000;2;"SUSPENSÃO DE LIMINAR E DE SENTENÇA 1018432-21.2019.4.01.0000";369001054
240;0001635-08.2016.4.01.4004;TRF1;"AGRAVO DE INSTRUMENTO";2017-10-17;523587820174010000;2;"0052358-78.2017.4.01.0000 Agravo de Instrumento 17/10/2017";426661138
241;0001123-54.2008.4.01.3309;TRF1;"AGRAVO DE INSTRUMENTO";2014-11-27;693095520144010000;2;"0069309-55.2014.4.01.0000 Agravo de Instrumento 27/11/2014";417630800
242;1047640-10.2020.4.01.3300;TRF1;"AGRAVO DE INSTRUMENTO";2020-11-04;10363128920204010000;2;"AGRAVO DE INSTRUMENTO 1036312-89.2020.4.01.0000";420133027
243;1047640-10.2020.4.01.3300;TRF1;"AGRAVO DE INSTRUMENTO";2020-10-20;10344992720204010000;2;"AGRAVO DE INSTRUMENTO 1034499-27.2020.4.01.0000";418625762
244;0004610-11.2012.8.26.0642;TJSP;"CUMPRIMENTO DE SENTENCA";2019-09-11;38346420198260642;1;"Cumprimento de sentença 0003834-64.2019.8.26.0642";378402161
245;0005068-30.2008.8.26.0428;TJSP;"EXECUCAO FISCAL";2009-09-04;66339220098260428;1;"Execução Fiscal 0006633-92.2009.8.26.0428";378260670
246;5002507-76.2020.4.04.7119;TJRS;"CARTA PRECATORIA";2021-03-06;50005274720218210040;1;"5000527-47.2021.8.21.0040 CARTA PRECATÓRIA";449916145
247;5018352-98.2012.4.04.7000;TRF4;"PROCEDIMENTO COMUM";2021-12-07;50837151720214047000;1;"5083715-17.2021.4.04.7000 PROCEDIMENTO COMUM";467084191
248;5018352-98.2012.4.04.7000;TRF4;"AGRAVO DE INSTRUMENTO";2019-08-04;50333559720194040000;2;"5033355-97.2019.4.04.0000 Agravo de Instrumento";380846683
249;5018352-98.2012.4.04.7000;TRF4;"AGRAVO DE INSTRUMENTO";2019-07-09;50292698320194040000;2;"5029269-83.2019.4.04.0000 Agravo de Instrumento";379081456
250;5018352-98.2012.4.04.7000;TRF4;"EMBARGOS DE TERCEIRO";2019-04-25;50194888620194047000;1;"5019488-86.2019.4.04.7000 EMBARGOS DE TERCEIRO";360141052
251;5018352-98.2012.4.04.7000;TRF4;"AGRAVO DE INSTRUMENTO";2022-02-11;50057369020224040000;2;"5005736-90.2022.4.04.0000 Agravo de Instrumento";473326163
252;5018352-98.2012.4.04.7000;TRF4;"APELACAO CIVEL";2012-08-01;50183529820124047000;2;"5018352-98.2012.4.04.7000 Apelação Cível";419220556
253;0800261-66.2015.4.05.8200;TRF5;"APELACAO CIVEL";2020-10-28;8002616620154058200;2;"APELAÇÃO CÍVEL 0800261-66.2015.4.05.8200";441813831
254;0000162-26.2019.8.24.0053;TJSC;"APELACAO CRIMINAL";2021-05-21;1622620198240053;2;"0000162-26.2019.8.24.0053 Apelação Criminal";499088796
255;0000162-26.2019.8.24.0053;TJSC;"ACAO PENAL - PROCEDIMENTO SUMARIO";2019-03-08;1622620198240053;1;"Ação Penal - Procedimento Sumário 0000162-26.2019.8.24.0053";362257714
256;1030582-79.2020.8.11.0002;TJMT;"INTERDITO PROIBITORIO";2020-11-02;10305827920208110002;1;"INTERDITO PROIBITÓRIO 1030582-79.2020.8.11.0002";419907569
257;0005345-46.2020.8.26.0292;TJSP;"PETICAO CIVEL";2021-01-12;10001263020208260617;1;"Petição Cível 1000126-30.2020.8.26.0617";436465641
258;0005345-46.2020.8.26.0292;TJSP;"REINTEGRACAO MANUTENCAO DE POSSE";2018-11-01;10096190720188260292;1;"Reintegração / Manutenção de Posse 1009619-07.2018.8.26.0292";338782296
259;8000013-76.2019.8.05.0034;TJBA;"PROCEDIMENTO COMUM CIVEL";2019-01-11;80000137620198050034;1;"PROCEDIMENTO COMUM CÍVEL 8000013-76.2019.8.05.0034";348722349
260;0800326-83.2019.8.10.0008;TJMA;"PROCESSO CIVEL E DO TRABALHO PROCESSO DE CONHECIMENTO PROCEDIMENTO DE CONHECIMENTO PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL";2008-08-21;17317620088100008;1;"1731-76.2008.8.10.0008 PROCESSO CÍVEL E DO TRABALHO|Processo de Conhecimento|Procedimento de Conhecimento|Procedimento do Juizado Especial Cível";362575271
261;8000221-81.2019.8.05.0124;TJBA;"REINTEGRACAO MANUTENCAO DE POSSE";2019-02-18;80002218120198050124;1;"REINTEGRAÇÃO / MANUTENÇÃO DE POSSE 8000221-81.2019.8.05.0124";353092563
262;8001135-29.2019.8.05.0001;TJBA;"PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL";2019-02-03;80011352920198050001;1;"PROCEDIMENTO DO JUIZADO ESPECIAL CÍVEL 8001135-29.2019.8.05.0001";351964535
263;8001116-23.2019.8.05.0001;TJBA;"PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL";2019-02-02;80011162320198050001;1;"PROCEDIMENTO DO JUIZADO ESPECIAL CÍVEL 8001116-23.2019.8.05.0001";351888121
264;0802952-94.2019.8.10.0034;TRF1;"1707 - REINTEGRACAO MANUTENCAO DE POSSE";2014-06-10;32876420144013702;1;"0003287-64.2014.4.01.3702 1707 - Reintegração / Manutenção de Posse 10/06/2014";420571145
265;8000326-84.2019.8.05.0277;TJBA;"PROCEDIMENTO ORDINARIO";2019-02-25;80003268420198050277;1;"PROCEDIMENTO ORDINÁRIO 8000326-84.2019.8.05.0277";353728171
266;0800074-72.2019.8.14.0007;TJPA;"CARTA PRECATORIA CIVEL";2019-01-29;8000747220198140007;1;"CARTA PRECATÓRIA CÍVEL 0800074-72.2019.8.14.0007";351192263
267;0800531-95.2019.8.14.0301;TJPA;"EXECUCAO FISCAL";2019-01-09;8005319520198140301;1;"EXECUÇÃO FISCAL 0800531-95.2019.8.14.0301";349634116
268;8001335-15.2019.8.05.0032;TJBA;"CARTA PRECATORIA CIVEL";2019-07-19;80013351520198050032;1;"CARTA PRECATÓRIA CÍVEL 8001335-15.2019.8.05.0032";372342768
269;0000302-91.2018.8.10.0083;TJMA;"PROCESSO CIVEL E DO TRABALHO PROCESSO DE CONHECIMENTO PROCEDIMENTO DE CONHECIMENTO PROCEDIMENTO COMUM CIVEL";2018-05-25;3029120188100083;1;"302-91.2018.8.10.0083 PROCESSO CÍVEL E DO TRABALHO | Processo de Conhecimento | Procedimento de Conhecimento | Procedimento Comum Cível";377263615
