;REGIÃO;UF;MUNICÍPIO ;COMUNIDADE;Nº PROCESSO NA FCP;DATA DA ABERTURA;ETAPA ATUAL PROCESSO FCP;PENDÊNCIA ;;;
1;NORTE;PA;ACARÁ;SÃO JOSÉ;01420.101189/2022-92;02/06/2022;ANALISADO;ATA, HISTÓRICO E REQUERIMENTO;;;
1;NORDESTE;PB;SERRA BRANCA;LIGEIRO DE BAIXO;01420.102103/2019-43;31/10/2019;ANALISADO;Histórico ;;;
1;NORDESTE;PE;GARANHUNS;SÍTIO CAMBIRIMBA;01420.101088/2019-16;28/05/2019;ANALISADO;Ata e Historico;;;
1;NORDESTE;PE;João Alfredo;Brejinhos;01420.101869/2021-25;22/11/2021;ANALISADO;Ata histórico e requerimento, ;;;
1;NORDESTE;PI;SÃO JOSÉ DO PIAUÍ;FAMÍLIA TIMOTIO E AMARO;01420.100050/2019-26;11/01/2019;ANALISADO;Histórico ;;;
1;NORDESTE;PI;SIMÕES;SERRA DA MATA GRANDE;01420.006967/2010-05;20/07/2021;ANALISADO;Histórico;;;
1;NORDESTE;PI;BARREIRAS DO PIAUÍ;PARENTINA;01420.100542/2021-36;10/01/2019;ANALISADO;Histórico;;;
1;SUL;RS;PASSO FUNDO;HERDEIROS DO POVINHO VELHO;01420.100386/2021-11;19/03/2021;ANALISADO;Ata, Histórico e Requerimento;;;
1;SUL;RS;CANOAS;MARIA LUIZA IRENO;01420.101899/2021-31;25/11/2021;ANALISADO;ATA e histórico;;;
1;NORTE;TO;MURICILÂNDIA;DONA DOMICILIA;01420.100230/2022-11;31/01/2022;ANALISADO;Ata ;;;
1;SUL;RS;RIO PARDO;CRUZ ALTA;01420.101476/2022-01;25/07/2022;ANALISADO;ATA E REQUERIMENTO;;;
1;NORDESTE;MA;VARGEM GRANDE;SANTA CLARA;01420.100839/2022-82;18/04/2022;ANALISADO;Historico e Ata;;;
1;NORDESTE;PI;TERESINA;BOA ESPERANÇA;01420.101219/2022-61;07/06/2022;ANALISADO;Requerimento e Ata;;;
1;NORDESTE;MA;MATINHA;MALHADA;01420.103400/2018-25;29/11/2018;ANALISADO;Histórico;;;
1;SUL;SC;ARARANGUÁ;MARIA ROSALINA;01420.014241/2014-16;07/11/2014;ANALISADO;Ata, histórico e Requerimento;;;
1;NORDESTE;PE;TRIUNFO;SANTA ROSA;01420.101475/2022-58;25/07/2022;ANALISADO;ATA;;;
1;NORDESTE;MA;MATÕES DO NORTE;SANTA ROSA;01420.101454/2022-32;20/07/2022;ANALISADO;Histórico;;;
1;NORDESTE;RN;CEARÁ-MIRIM;PRIMEIRA LAGOA;01420.101483/2022-02;25/07/2022;ANALISADO;ATA;;;
1;NORDESTE;CE;IRACEMA;BASTIÕES;01420.101487/2022-82;25/07/2022;ANALISADO;ATA;;;
1;NORDESTE;BA;CALDEIRÃO GRANDE;PORÇÕES;01420.101502/2022-92;26/07/2022;ANALISADO;ATA;;;
1;CENTRO-OESTE;GO;MINAÇU;MATA DO CAFÉ;01420.101650/2022-15;16/08/2022;ANALISADO;ATA, HISTÓRICO E REQUERIMENTO;;;
1;NORDESTE;MA;MATINHA;PONTA DA CAFUSA;01420.101559/2022-91;03/08/2022;ANALISADO;Histórico;;;
1;NORDESTE;PE;MIRANDIBA;RIACHO DO MEIO DOS DAMIÃO;01420.101774/2022-92;02/09/2022;ANALISADO;Ata e Historico;;;
1;NORDESTE;MA;CODÓ;SANTA MARIA DOS MOREIRAS JERUSALÉM E BOM JESUS;01420.100425/2022-53;21/02/2022;ANALISADO;Histórico;;;
1;SUDESTE;MG;JANUÁRIA;BARREIRINHO;01420.100786/2022-08;08/04/2022;ANALISADO;ATA;;;
1;NORDESTE;MA;ITAPECURU-MIRIM;CHEIROSO;01420.100717/2022-96;31/03/2022;ANALISADO;ATA , Histórico E REQUERIMENTO;;;
1;NORDESTE;AL;PARICONHA;ALTO DOS CAPELAS;01420.102039/2022-04;14/10/2022;ANALISADO;Histórico;;;
1;SUDESTE;MG;JANUÁRIA;MARRECA E TANQUE;01420.101912/2022-33;26/09/2022;ANALISADO;Ata  e Histórico;;;
1;NORDESTE;MA;BEQUIMÃO;PONTAL;01420.100431/2020-49;11/03/2020;ANALISADO;HISTORICO;;;
1;NORDESTE;MA;BEQUIMÃO;MONTE PALMA;01420.100429/2020-70;11/03/2020;ANALISADO;ATA , Histórico E REQUERIMENTO;;;
1;CENTRO-OESTE;GO;VILA BOA;MIRORÓ, SUCUIÚ E RAJADOS - QUILOMBOA;01420.004234/2017-02;26/04/2017;ANALISADO;ATA , Histórico E REQUERIMENTO;;;
1;NORDESTE;MA;PRESIDENTE SARNEY;JALAPA, PEDREIRA, CAMPINA VERDE E MONTE VIDÉO;01420.100088/2020-32;20/01/2020;ANALISADO;ATA , Histórico E REQUERIMENTO;;;
1;NORDESTE;MA;BEQUIMÃO;FRECHAL;01420.100423/2020-01;10/03/2020;ANALISADO;ATA , Histórico E REQUERIMENTO;;;
1;NORDESTE;BA;CONDE;BUCOCO, CAMPO FRIO, CHIQUEIRO, COCO, COLÔNIA DO COQUEIRO, FAZENDA ALTAMIRA, FAZENDA AROEIRA, FAZENDA BAIXIOS, FAZENDA CACHOEIRAS, FAZENDA COQUEIRO, FAZENDA OS FÔRNOS, FAZENDA PALMEIRAS, FAZENDA PIMENTEIRA, FAZENDA RIO DE MEIO DE MARÉ, FAZENDA SÃO BENTO, FAZENDA VERMELHO e OCOCO.;01420.004514/2013-89;30/04/2013;ANALISADO;ATA , Histórico E REQUERIMENTO;;;
