;REGIÃO;UF;MUNICÍPIO ;COMUNIDADE;Nº PROCESSO NA FCP;ETAPA ATUAL PROCESSO FCP;Nº DA PORTARIA;DATA DA PORTARIA NO DOU;Nº PROCESSO INCRA;ETAPA DO PROCESSO DE TITULAÇÃO
1;SUL;RS;MAQUINÉ | OSÓRIO;MORRO ALTO1;01420.000014/2003-04;CERTIFICADA;19/2004;04/06/2004;54220.001201/2004-09;RTID
1;NORDESTE;PI;QUEIMADA NOVA;TAPUIO;01420.000052/2004-30;CERTIFICADA;19/2004;04/06/2004;54380.001320/2004-11 ;RTID
1;NORDESTE;PI;QUEIMADA NOVA;SUMIDOURO;01420.000051/2004-95;CERTIFICADA;19/2004;04/06/2004;54380.001323/2004-54 ;
1;SUL;RS;RESTINGA SECA;RINCÃO DOS MARTINIANOS;01420.000036/2003-66;CERTIFICADA;19/2004;04/06/2004;54220.000258/2005-63;TITULAÇÃO PARCIAL
1;SUL;RS;MOSTARDAS;CASCA;01420.000598/2001-48;CERTIFICADA;19/2004;04/06/2004;54220.001202/2004-45;TITULAÇÃO PARCIAL
1;SUL;RS;GRAVATAÍ;MANOEL BARBOSA;01420.000146/2003-28;CERTIFICADA;19/2004;04/06/2004;54220.001830/2004-21;DECRETO NO DOU
1;NORDESTE;BA;BOM JESUS DA LAPA;ARAÇÁ, CARIACA, COXO, RETIRO, PATOS E PEDRA;01420.000274/1998-99;CERTIFICADA;19/2004;04/06/2004;54160.001788/2005-81;RTID
1;NORTE;PA;BAIÃO;FUGIDO RIO TUCUNARÉ;01420.000519/2003-61;CERTIFICADA;35/2004;10/12/2004;54100.016347/2009-11 ;
1;SUDESTE;MG;VIÇOSA;BUIEIÉ;01420.000385/2004-69;CERTIFICADA;35/2004;10/12/2004;54170.003746/2005-65;
1;SUDESTE;MG;JEQUITINHONHA;MUMBUCA;01420.000657/2004-21;CERTIFICADA;35/2004;10/12/2004;54170.003745/2005-11;RTID
1;CENTRO-OESTE;GO;SILVÂNIA;ALMEIDAS;01420.000522/2004-65;CERTIFICADA;23/2005;25/05/2005;54150.001540/2006-10 ;
1;CENTRO-OESTE;GO;CAVALCANTE | MONTE ALEGRE DE GOIÁS | TERESINA DE GOIÁS;KALUNGA;01420.000298/1998-11;CERTIFICADA;07/2005;19/04/2005;54700.000189/2004-12 ;TRD  - Despacho de 15/07/2000 - 18/07/2000
1;CENTRO-OESTE;MS;DOURADOS | ITAPORÃ;PICADINHA;01420.000491/2005-23;CERTIFICADA;7/2005;19/04/2005;54290.000373/2005-12 ;PORTARIA NO DOU
1;NORDESTE;RN;TIBAU DO SUL;SIBAÚMA;01420.000658/2004-75;CERTIFICADA;26/2005;08/06/2005;54330.000253/2005-93 ;LAUDO ANTROPOLÓGICO PRONTO, RESTA ALGUMAS PEÇAS
1;NORDESTE;BA;SENHOR DO BONFIM;LAGE E MAMOEIRO;01420.001067/2005-04;CERTIFICADA;28/2005;12/07/2005;54160.001826/2013-13;
1;NORDESTE;BA;SENHOR DO BONFIM | ANTÔNIO GONÇALVES | FILADÉLFIA;TIJUAÇU;01420.000048/1998-90;CERTIFICADA;28/2005;12/07/2005;54160.003083/2007-60;DECRETO NO DOU
1;CENTRO-OESTE;MS;CAMPO GRANDE;CHÁCARA DO BURITI;01420.001446/2005-96;CERTIFICADA;32/2005;19/08/2005;54290.000405/2004-91 ;TITULAÇÃO PARCIAL
1;NORTE;TO;ARRAIAS | PARANÃ;MIMOSO;01420.001226/2005-62;CERTIFICADA;37/2005;12/09/2005;54400001221/2005-34;DECRETO NO DOU
1;NORDESTE;SE;POÇO REDONDO;SERRA DA GUIA;01420.001322/2005-19;CERTIFICADA;32/2005;19/08/2005;54370.000549/2005-38 ;TITULAÇÃO PARCIAL
1;SUDESTE;MG;OURO VERDE DE MINAS;NEGRA RURAL DE QUILOMBO;01420.000655/2004-31;CERTIFICADA;39/2005;30/09/2005;54170.008060/2005-61;
1;NORDESTE;MA;ANAJATUBA | ITAPECURU-MIRIM;MONGE BELO (composta pelas comunidades: Ponta Grossa, Juçara, Jaibara dos Rodrigues, Teso da Tapera e Frades);01420.001379/2004-29;CERTIFICADA;39/2005;30/09/2005;54230.003794/2004-11;DECRETO NO DOU
1;SUL;PR;CASTRO;SERRA DO APON, LIMITÃO e MAMANS;01420.001617/2005-87;CERTIFICADA;37/2005;12/09/2005;54200.003339/2006-34 ;
1;SUL;PR;PONTA GROSSA;SANTA CRUZ;01420.001638/2005-01;CERTIFICADA;32/2005;19/08/2005;54000.001626/2008-71 ;
1;SUL;PR;PONTA GROSSA;SUTIL;01420.001639/2005-47;CERTIFICADA;32/2005;19/08/2005;54200.003249/2009-96 ;
1;CENTRO-OESTE;MT;POCONÉ;CURRALINHO;01420.001789/2005-51;CERTIFICADA;37/2005;12/09/2005;54240.005267/2005-11 ;
1;CENTRO-OESTE;MT;POCONÉ;SÃO BENEDITO;01420.001791/2005-20;CERTIFICADA;37/2005;12/09/2005;54240.005266/2005-68 ;
1;CENTRO-OESTE;MT;POCONÉ;CHUMBO;01420.001793/2005-19;CERTIFICADA;37/2005;12/09/2005;54240.005280/2005-61 ;
1;CENTRO-OESTE;MT;POCONÉ;LARANJAL;01420.001798/2005-41;CERTIFICADA;37/2005;12/09/2005;54240.005236/2005-51 ;
1;CENTRO-OESTE;MT;POCONÉ;CAMPINA DE PEDRA;01420.001797/2005-05;CERTIFICADA;37/2005;12/09/2005;54240.005272/2005-15 ;RTID
1;CENTRO-OESTE;MT;POCONÉ;IMBÉ;01420.001795/2005-16;CERTIFICADA;37/2005;12/09/2005;54240.005273/2005-60 ;
1;CENTRO-OESTE;MT;POCONÉ;CÁGADO;01420.001787/2005-61;CERTIFICADA;37/2005;12/09/2005;54240.005237/2005-04 ;
1;CENTRO-OESTE;MT;POCONÉ;MORRO CORTADO;01420.001785/2005-72;CERTIFICADA;37/2005;12/09/2005;54240.005264/2005-79 ;
1;CENTRO-OESTE;MT;POCONÉ;MINADOURO 2;01420.001767/2005-91;CERTIFICADA;37/2005;12/09/2005;54240.005279/2005-37 ;
1;CENTRO-OESTE;MT;SANTO ANTÔNIO DO LEVERGER;ABOLIÇÃO;01420.001812/2005-15;CERTIFICADA;37/2005;12/09/2005;54240.005251/2005-08 ;
1;CENTRO-OESTE;MT;POCONÉ;MORRINHOS;01420.001769/2005-80;CERTIFICADA;37/2005;12/09/2005;54240.005259/2005-66 ;
1;CENTRO-OESTE;MT;POCONÉ;TANQUE DO PADRE PINHAL;01420.001770/2005-12;CERTIFICADA;37/2005;12/09/2005;54240.005254/2005-33 ;
1;CENTRO-OESTE;MT;POCONÉ;JEJUM;01420.001774/2005-92;CERTIFICADA;39/2005;30/09/2005;54220.005245/2005-42 ;
1;CENTRO-OESTE;MT;BARRA DO BUGRES;VACA MORTA;01420.001808/2005-49;CERTIFICADA;39/2005;30/09/2005;54240005240/2005-10 ;
1;CENTRO-OESTE;MT;POCONÉ;COITINHO;01420.001775/2005-37;CERTIFICADA;39/2005;30/09/2005;54240.005260/2005-91 ;
1;CENTRO-OESTE;MT;NOSSA SENHORA DO LIVRAMENTO;ENTRADA DO BANANAL;01420.001830/2005-99;CERTIFICADA;39/2005;30/09/2005;54240.005246/2005-97 ;
1;CENTRO-OESTE;MT;VILA BELA DA SANTÍSSIMA TRINDADE;BELA COR;01420.001827/2005-75;CERTIFICADA;39/2005;30/09/2005;54240.005241/2005-64 ;
1;CENTRO-OESTE;MT;VILA BELA DA SANTÍSSIMA TRINDADE;BOQUEIRÃO, VALE DO RIO ALEGRE E VALE DO RIO GUAPORÉ;01420.001838/2005-55;CERTIFICADA;39/2005;30/09/2005;54240.005262/2005-80 ;
1;NORTE;PA;COLARES;CACAU E OVO;01420.000439/2002-24;CERTIFICADA;43/2005;09/11/2005;54100.000111/2005-30 ;DECRETO NO DOU
1;NORDESTE;BA;SENHOR DO BONFIM;CARIACÁ;01420.000283/1998-80;CERTIFICADA;43/2005;09/11/2005;54160.004664/2008-08;
1;NORDESTE;MA;SÃO JOÃO DO SOTER;JACAREZINHO, BUCURI E PRIMEIRO BREJO;01420.001983/2005-36;CERTIFICADA;44/2005;06/12/2005;54230.001187/2006-88;
1;NORDESTE;MA;BACABAL;PIRATININGA;01420.000038/1998-36;CERTIFICADA;44/2005;06/12/2005;54230.007480/2005-78 ;
1;NORTE;TO;SANTA ROSA DO TOCANTINS;MORRO DE SÃO JOÃO;01420.002368/2005-47;CERTIFICADA;02/2006;20/01/2006;54400.001297/2006-41 ;
1;NORDESTE;BA;ALAGOINHAS;FAZENDA CANGULA;01420.002600/2005-47;CERTIFICADA;02/2006;20/01/2006;54160.001423/2013-66;
1;SUDESTE;MG;JOAÍMA;RURAL BARREIRINHO;01420.000075/2006-14;CERTIFICADA;05/2006;24/03/2006;54170.003882/2006-36;
1;NORDESTE;PI;SÃO JOÃO DA VARJOTA;PAQUETÁ;01420.001694/2005-37;CERTIFICADA;05/2006;24/03/2006;54380.000041/2014-10;
1;SUL;RS;CANOAS;CHÁCARA BARRETO;01420.000367/2006-49;CERTIFICADA;08/2006;12/05/2006;54220.002770/2005-44;
1;SUL;PR;ADRIANÓPOLIS;SETE BARRAS;01420.002297/2005-82;CERTIFICADA;11/2006;07/06/2006;54200.003255/2009-43 ;
1;SUL;PR;ADRIANÓPOLIS;CÓRREGO DAS MOÇAS;01420.002300/2005-68;CERTIFICADA;11/2006;07/06/2006;54200.003240/2009-85 ;
1;NORTE;PA;BUJARU;SÃO JUDAS TADEU;01420.001099/2006-82;CERTIFICADA;11/2006;07/06/2006;54100.002190/2004-32;PORTARIA NO DOU
1;NORDESTE;BA;SENHOR DO BONFIM;ÁGUA BRANCA;01420.001238/2006-78;CERTIFICADA;11/2006;07/06/2006;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;BA;SENHOR DO BONFIM;ALTO BONITO;01420.001245/2006-70;CERTIFICADA;11/2006;07/06/2006;54160.003083/2007-60;
1;NORDESTE;BA;SENHOR DO BONFIM;CAPIM e QUEIMADA GRANDE;01420.001252/2006-71;CERTIFICADA;11/2006;07/06/2006;54160.003083/2007-60;
1;NORDESTE;BA;SENHOR DO BONFIM;OLARIA;01420.001253/2006-16;CERTIFICADA;11/2006;07/06/2006;54160.003083/2007-60;
1;NORDESTE;BA;SENHOR DO BONFIM;QUEBRA FACÃO;01420.001254/2006-61;CERTIFICADA;11/2006;07/06/2006;54160.003083/2007-60;
1;NORDESTE;BA;SENHOR DO BONFIM;LAGINHA;01420.001256/2006-50;CERTIFICADA;11/2006;07/06/2006;54160.003083/2007-60;
1;NORDESTE;BA;SENHOR DO BONFIM;UMBURANA;01420.001219/2006-41;CERTIFICADA;11/2006;07/06/2006;54160.001828/2013-02;
1;NORDESTE;BA;NORDESTINA;LAGOA DA SALINA;01420.001151/2006-07;CERTIFICADA;11/2006;07/06/2006;54160.000750/2013-09;
1;NORTE;PA;SALVATERRA;BACABAL;01420.000561/2006-24;CERTIFICADA;15/2006;28/07/2006;54100.000115/2005-18 ;DECRETO
1;NORDESTE;PB;CATOLÉ DO ROCHA;LAGOA RASA;01420.000834/2006-31;CERTIFICADA;15/2006;28/07/2006;54320.001417/2011-67 ;
1;NORDESTE;BA;CANARANA;BREJINHO;01420.001541/2006-71;CERTIFICADA;15/2006;28/07/2006;54160.000408/2012-10;
1;NORDESTE;BA;CANARANA;LAGOA DO ZECA;01420.001542/2006-15;CERTIFICADA;15/2006;28/07/2006;54160.002845/2011-97;
1;NORDESTE;BA;VITÓRIA DA CONQUISTA;LAGOA MARIA CLEMÊNCIA (POÇO ANINHA,CALDEIRÃO, OITEIRO, MANOEL ANTONIO, RIACHO DE TEÓFILO, BAIXÃO, TABUA, MURIRIBA E LAGOA DE MARIA CLEMÊNCIA);01420.001669/2006-34;CERTIFICADA;29/2006;13/12/2006;54160.003871/2010-51;
1;NORDESTE;MA;PRESIDENTE VARGAS;ESTIVA DOS COTÓS;01420.001672/2006-58;CERTIFICADA;15/2006;28/07/2006;54230.005532/2006-5;RTID
1;NORDESTE;BA;BOM JESUS DA LAPA;BARRINHA;01420.001456/2006-11;CERTIFICADA;15/2006;28/07/2006;54160.000298/2011-13;
1;SUDESTE;MG;SANTA MARIA DE ITABIRA;BARRO PRETO;01420.000989/2006-77;CERTIFICADA;15/2006;28/07/2006;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;BA;ARAÇAS;JUREMA;01420.001956/2006-44;CERTIFICADA;29/2006;13/12/2006;54160.001730/2008-80;
1;NORTE;PA;BAIÃO;UMARIZAL;01420.001959/2006-88;CERTIFICADA;29/2006;13/12/2006;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;BA;IBITIARA;CANA BRAVA;01420.001958/2006-33;CERTIFICADA;29/2006;13/12/2006;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;MA;PENALVA;CAMINHO NOVO E FORMIGA;01420.002066/2006-50;CERTIFICADA;29/2006;13/12/2006;54230.003590/2011-17;
1;NORDESTE;BA;SANTA MARIA DA VITÓRIA;MONTEVIDINHA;01420.002459/2006-63;CERTIFICADA;29/2006;13/12/2006;54160.001711/2008-53;
1;NORDESTE;BA;VITÓRIA DA CONQUISTA;CACHOEIRA DO RIO PARDO;01420.002555/2006-10;CERTIFICADA;29/2006;13/12/2006;54160.003004/2010-16;
1;NORDESTE;BA;TREMEDAL;QUENTA SOL;01420.002559/2006-90;CERTIFICADA;29/2006;13/12/2006;54160.002583/2014-11;
1;NORTE;PA;CONCÓRDIA DO PARÁ;NOSSA SENHORA DA CONCEIÇÃO IPANEMA;01420.002335/2006-88;CERTIFICADA;29/2006;13/12/2006;54100.001570/2005-31;TITULADO
1;NORTE;PA;CONCÓRDIA DO PARÁ;SANTO ANTÔNIO;01420.002334/2006-33;CERTIFICADA;29/2006;13/12/2006;54100.001570/2005-31;TITULADO
1;NORTE;PA;CONCÓRDIA DO PARÁ;IGARAPE DONA CARUPERE;01420.002336/2006-22;CERTIFICADA;29/2006;13/12/2006;54100.001570/2005-31;TITULADO
1;NORTE;PA;CONCÓRDIA DO PARÁ;CAMPO VERDE;01420.002337/2006-77;CERTIFICADA;29/2006;13/12/2006;54100.001570/2005-31 ;TITULADO
1;NORDESTE;RN;BOM JESUS;SÍTIO PAVILHÃO;01420.002315/2006-15;CERTIFICADA;29/2006;13/12/2006;54330.000221/2010-55 ;RTID
1;SUDESTE;MG;SÃO JOÃO DA PONTE;VEREDA VIANA E AGRESTE;01420.000022/2004-23;CERTIFICADA;29/2006;13/12/2006;54170.006152/2007-78;
1;NORDESTE;AL;ARAPIRACA;PAU D´ARCO;01420.002703/2006-98;CERTIFICADA;8/2007;07/02/2007;54360.000038/2015-15 ;
1;NORTE;PA;BAIÃO;PARITÁ MIRI;01420.003370/2006-14;CERTIFICADA;8/2007;07/02/2007;NÃO TEM PROCESSO NO INCRA;
1;SUDESTE;MG;JANUÁRIA;RETIRO DOS BOIS;01420.003232/2006-35;CERTIFICADA;08/2007;07/02/2007;54170.006164/2007-01;
1;NORTE;PA;BAIÃO;BOA VISTA;01420.003446/2006-10;CERTIFICADA;25/2007;13/03/2007;NÃO TEM PROCESSO NO INCRA;
1;NORTE;PA;BAIÃO;UMARIZAL BEIRA;01420.003445/2006-67;CERTIFICADA;25/2007;13/03/2007;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;AL;ARAPIRACA;CARRASCO;01420.000322/1999-10;CERTIFICADA;25/2007;13/03/2007;54360.000009/2012-01 ;
1;NORDESTE;PI;CAMPO LARGO DO PIAUÍ;SÃO JOÃO VILA BOA ESPERANÇA;01420.000423/2007-26;CERTIFICADA;25/2007;13/03/2007;54380.000262/2012-18;RTID
1;NORDESTE;PE;CUSTÓDIA;SERRA DA TORRE, SABÁ, ENGENHO, MOCÓ, MULUNGÚ, BARRO BRANCO, CARDOSO, SANTA MARIA, PITOMBEIRA, CALDERÃO, TAMBORIL, BALANÇAS, LAGOA CERCADA, AÇUDINHO, CACIMBA LIMPA DE CIMA, SACO GRANDE, SANTANA DO SABÁ;01420.000480/2007-13;CERTIFICADA;42/2007;16/04/2007;54141.000403/2008-39 ;
1;CENTRO-OESTE;MT;NOSSA SENHORA DO LIVRAMENTO;MATA CAVALO (Composta pelos povoados: Mata Cavalo de Cima, Mata Cavalo de Baixo, Ribeirão do Mutuca, Aguassú, Ventura Capim Verde e Ourinhos);01420.000586/2007-17;CERTIFICADA;42/2007;16/04/2007;54240.001538/2004-70 ;TRD  - Despacho de 15/07/2000 - 18/07/2000
1;NORDESTE;CE;TAMBORIL;TORRES;01420.000783/2007-28;CERTIFICADA;51/2007;16/05/2007;54130.000774/2008-40 ;
1;NORTE;PA;ORIXIMINÁ;CACHOEIRA PORTEIRA ;01420.000833/2007-77;CERTIFICADA;51/2007;16/05/2007;54501.001830/2014-46;
1;SUDESTE;MG;CRISTÁLIA;PAIOL;01420.000185/2008-30;CERTIFICADA;51/2007;16/05/2007;54170.00247520/08-73;
1;NORDESTE;MA;CODÓ;BOM JESUS;01420.001331/2007-63;CERTIFICADA;13/2008;05/03/2008;54230.006073/2006-24 ;
1;NORDESTE;BA;TAPEROÁ;MIGUEL CHICO;01420.001393/2007-75;CERTIFICADA;13/2008;05/03/2008;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;BA;VALENÇA;SARAPUÍ;01420.001623/2007-04;CERTIFICADA;13/2008;05/03/2008;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;MA;ICATU;SANTA MARIA;01420.000276/2008-75;CERTIFICADA;13/2008;05/03/2008;54230.001903/2007-16 ;
1;SUDESTE;MG;VIRGEM DA LAPA;ALTO JEQUITIBÁ (Composta pelas Comunidades: JEQUITIBÁ, BUGRE E QUILOMBO);01420.001744/2008-29;CERTIFICADA;60/2008;04/08/2008;54170.000068/2009-11;
1;NORDESTE;BA;ENTRE RIOS;FAZENDA PORTEIRAS;01420.002922/2008-39;CERTIFICADA;94/2008;09/12/2008;54160.000824/2009-12;RTID
1;NORDESTE;BA;ABAÍRA;ALTO DA BOA VISTA;01420.000299/2009-61;CERTIFICADA;43/2009;05/05/2009;54160.002936/2009-16;
1;NORDESTE;BA;ABAÍRA;ASSENTO;01420.000298/2009-16;CERTIFICADA;43/2009;05/05/2009;54160.002972/2009-71;
1;SUL;SC;SANTO AMARO DA IMPERATRIZ;TABULEIRO;01420.000009/2009-89;CERTIFICADA;43/2009;05/05/2009;54210.001021/2010-86 ;
1;NORDESTE;PI;SÃO JOÃO DO PIAUÍ;SACO DO CURTUME;01420.000786/2009-23;CERTIFICADA;43/2009;05/05/2009;NÃO TEM PROCESSO NO INCRA;
1;SUL;RS;CANGUÇU;PASSO DO LOURENÇO;01420.000804/2009-77;CERTIFICADA;43/2009;05/05/2009;54220.002780/2008-22;
1;NORDESTE;AL;PALESTINA;VILA SANTO ANTÔNIO;01420.001102/2007-49;CERTIFICADA;43/2009;05/05/2009;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;AL;ÁGUA BRANCA;BARRO PRETO;01420.002212/2009-90;CERTIFICADA;185/2009;19/11/2009;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;AL;ÁGUA BRANCA;SERRA DAS VIÚVAS;01420.002211/2009-45;CERTIFICADA;185/2009;19/11/2009;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;AL;ÁGUA BRANCA;LAGOA DAS PEDRAS;01420.002204/2009-43;CERTIFICADA;185/2009;19/11/2009;NÃO TEM PROCESSO NO INCRA;
1;SUDESTE;MG;COLUNA;FURTUOSO E VARJÃO;01420.000193/2010-09;CERTIFICADA;59/2010;28/04/2010;54170.002546/2010-52;
1;SUDESTE;MG;COLUNA;PITANGUEIRAS E SUASSUÍ;01420.000192/2010-56;CERTIFICADA;59/2010;28/04/2010;54170.002549/2010-96;
1;SUL;RS;TAVARES;CAPOROROCAS;01420.000247/2010-28;CERTIFICADA;59/2010;28/04/2010;54220.000733/2009-25;
1;NORDESTE;BA;NOVA IBIÁ;CANARISCO;01420.002711/2009-87;CERTIFICADA;82/2010;06/07/2010;54160.001341/2013-11;
1;NORDESTE;BA;BIRITINGA;VILA NOVA;01420.001186/2007-11;CERTIFICADA;82/2010;06/07/2010;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;BA;IGAPORÃ;LAPINHA;01420.001228/2010-19;CERTIFICADA;82/2010;06/07/2010;54160.004279/2015-81;
1;NORTE;PA;BAIÃO | OEIRAS DO PARÁ;BAILIQUE;01420.001609/2010-06;CERTIFICADA;135/2010;04/11/2010;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;BA;WENCESLAU GUIMARÃES;JERICÓ;01420.003850/2010-61;CERTIFICADA;135/2010;04/11/2010;54160.001344/2013-55;
1;NORDESTE;BA;WENCESLAU GUIMARÃES;SARILÂNDIA;01420.003849/2010-37;CERTIFICADA;135/2010;04/11/2010;NÃO TEM PROCESSO NO INCRA;
1;SUDESTE;ES;ITAPEMIRIM;GRAÚNA;01420.006253/2010-99;CERTIFICADA;162/2010;27/12/2010;NÃO TEM PROCESSO NO INCRA;
1;SUDESTE;MG;ITAMARANDIBA;TABATINGA;01420.005957/2010-44;CERTIFICADA;162/2010;27/12/2010;54170.004343/2011-81;
1;NORDESTE;AL;IGACI;SÍTIO SERRA VERDE;01420.007111/2010-49;CERTIFICADA;162/2010;27/12/2010;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;AL;ÁGUA BRANCA;POVOADO CAL;01420.007114/2010-82;CERTIFICADA;162/2010;27/12/2010;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;PE;FLORESTA;NEGROS DO PAJEÚ;01420.001479/2010-01;CERTIFICADA;28/2011;10/02/2011;54141.000249/2011-09;
1;NORDESTE;PE;FLORESTA;FILHOS DE PAJEÚ (BOQUEIRÃO, CACHOEIRA, MELANCIA, CABEÇA DE VACA E BEZERRA);01420.000996/2011-36;CERTIFICADA;28/2011;10/02/2011;54141.000287/2011-53;
1;SUDESTE;MG;JANUÁRIA;QUEBRA GUIADA;01420.004595/2011-55;CERTIFICADA;65/2011;11/05/2011;54170.004353/2011-17;
1;NORDESTE;BA;CONDEÚBA;TAMBORIL;01420.005602/2011-36;CERTIFICADA;91/2011;17/06/2011;54160.000618/2012-16;
1;NORDESTE;BA;SENHOR DO BONFIM;ANACLETO;01420.001064/2010-20;CERTIFICADA;91/2011;17/06/2011;54160.003083/2007-60;
1;NORDESTE;BA;SENHOR DO BONFIM;PASSAGEM VELHA;01420.010352/2011-56;CERTIFICADA;195/2011;01/12/2011;54160.001830/2013-73;
1;NORDESTE;BA;SENHOR DO BONFIM;CRUZEIRO;01420.009619/2011-62;CERTIFICADA;195/2011;01/12/2011;54160.001831/2013-18;
1;SUDESTE;MG;SABINÓPOLIS;MARITACA;01420.009606/2011-93;CERTIFICADA;195/2011;01/12/2011;54170.000340/2012-50;
1;NORTE;PA;SÃO DOMINGOS DO CAPIM;RIO CAPIM;01420.007973/2011-52;CERTIFICADA;195/2011;01/12/2011;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;BA;CANARANA;LARGO DOS MIRANDAS;01420.010015/2011-69;CERTIFICADA;211/2011;22/12/2011;54160.002692/2013-40;
1;NORDESTE;BA;CANARANA;CANSANÇÃO;01420.010020/2011-71;CERTIFICADA;211/2011;22/12/2011;54160.001939/2014-91;
1;NORDESTE;BA;CANARANA;MATO VERDE;01420.010022/2011-61;CERTIFICADA;211/2011;22/12/2011;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;BA;CANARANA;SEGREDO;01420.010019/2011-47;CERTIFICADA;211/2011;22/12/2011;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;BA;CANARANA;NOVO HORIZONTE;01420.010023/2011-13;CERTIFICADA;211/2011;22/12/2011;54160.001936/2014-58;
1;NORDESTE;BA;CANARANA;VOLTA DO ANGICO;01420.010021/2011-16;CERTIFICADA;211/2011;22/12/2011;54160.001937/2014-01;
1;NORDESTE;BA;CANARANA;FLORESTA II;01420.010017/2011-58;CERTIFICADA;211/2011;22/12/2011;54160.001935/2014-11;
1;NORDESTE;BA;CANARANA;FLORESTA I;01420.010018/2011-01;CERTIFICADA;211/2011;22/12/2011;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;BA;CANARANA;CRUZEIRO;01420.010016/2011-11;CERTIFICADA;211/2011;22/12/2011;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;PE;MIRANDIBA;BALANÇO;01420.015351/2011-06;CERTIFICADA;211/2011;22/12/2011;54141.001651/2013-64;
1;NORTE;PA;MOCAJUBA;TAMBAÍ AÇÚ;01420.007057/2010-31;CERTIFICADA;64/2012;04/04/2012;NÃO TEM PROCESSO NO INCRA;
1;SUDESTE;MG;JANUÁRIA;ALEGRE, ALEGRE II e BARREIRO DO ALEGRE;01420.004753/2012-58;CERTIFICADA;177/2012;03/09/2012;54170.005221/2012-93;
1;SUDESTE;MG;JANUÁRIA;CABANO, PITOMBEIRAS e VILA APARECIDA;01420.004761/2012-02;CERTIFICADA;177/2012;03/09/2012;54170.005220/2012-49;
1;SUDESTE;MG;JANUÁRIA;GAMELEIRA;01420.004751/2012-69;CERTIFICADA;177/2012;03/09/2012;54170.005226/2012-16;
1;SUDESTE;MG;JANUÁRIA;BURITIZINHO, LAMBEDOURO, ONÇA e PEDRAS;01420.004759/2012-25;CERTIFICADA;177/2012;03/09/2012;54170.005224/2012-27;
1;SUDESTE;MG;JANUÁRIA;PÉ DA SERRA;01420.004783/2012-64;CERTIFICADA;177/2012;03/09/2012;54170.005223/2012-82;
1;SUDESTE;MG;JANUÁRIA;RIACHINHO;01420.004755/2012-47;CERTIFICADA;177/2012;03/09/2012;54170.005225/2012-71;
1;SUDESTE;MG;JANUÁRIA;RIACHO DA CRUZ, ÁGUA VIVA e CALUZEIROS;01420.004782/2012-10;CERTIFICADA;177/2012;03/09/2012;54170.005222/2012-38;
1;SUDESTE;MG;BARBACENA;CANDENDÊS;01420.005104/2012-74;CERTIFICADA;177/2012;03/09/2012;54170.005234/2012-62;
1;NORDESTE;PI;OEIRAS;QUEIROZ;01420.006968/2010-41;CERTIFICADA;190/2012;01/10/2012;54380.001367/2015-37;
1;SUDESTE;MG;JANUÁRIA;BARREIRO E MORRO VERMELHO;01420.009919/2012-22;CERTIFICADA;189/2012;01/10/2012;54170.006545/2012-49;
1;SUDESTE;MG;JANUÁRIA;PICOS;01420.009928/2012-13;CERTIFICADA;189/2012;01/10/2012;54170.006544/2012-02;
1;SUDESTE;MG;JANUÁRIA;VARZEA DA CRUZ;01420.009921/2012-00;CERTIFICADA;189/2012;01/10/2012;54170.006543/2012-50;
1;SUDESTE;MG;JANUÁRIA;BALAIEIRO;01420.009949/2012-39;CERTIFICADA;189/2012;01/10/2012;54170.006546/2012-93;
1;SUDESTE;MG;JANUÁRIA;PASTA CAVALO;01420.009927/2012-79;CERTIFICADA;189/2012;01/10/2012;54170.006547/2012-38;
1;SUDESTE;MG;JANUÁRIA;GROTINHA;01420.009930/2012-92;CERTIFICADA;189/2012;01/10/2012;54170.006548/2012-82;
1;NORDESTE;MA;BACURITUBA;SEREJO;01420.000087/2008-01;CERTIFICADA;229/2012;31/12/2012;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;MA;VIANA;SANTA ROSA I;01420.006160/2012-26;CERTIFICADA;229/2012;31/12/2012;NÃO TEM PROCESSO NO INCRA;TITULADO
1;NORDESTE;MA;VIANA;CARRO QUEBRADO;01420.005132/2012-91;CERTIFICADA;229/2012;31/12/2012;NÃO TEM PROCESSO NO INCRA;
1;NORDESTE;MA;PERI MIRIM;RIO DA PRATA;01420.008947/2012-22;CERTIFICADA;229/2012;31/12/2012;NÃO TEM PROCESSO NO INCRA;
